subID,gender,csps_acq,cspe_acq,csps_ext,cspe_ext,csps_tes,cspe_tes
3,male,0.137370869177048,0.101513957687322,-0.283054526406366,-0.412226744107983,-0.348348350541138,-0.276989669863854
5,male,-0.262581710610638,0.157095355472754,-0.262962811413937,0.264945909031542,0.281682345347527,0.217530962175284
6,male,0.208553150012969,0.191620475618471,0.27473910273854,0.52038266746183,0.263090810537236,0.196747370041268
7,female,-0.395554963701495,-0.238392326748698,0.293823829921481,-0.0337094410036691,0.234348891818479,0.647897936093435
8,male,0.540038297263285,1.12989290592432,0.552203474715591,0.745016546386621,-0.396663803839543,0.171975702083743
9,female,0.361202451193187,0.270251758136743,-0.811100457481041,-0.496805504626598,0.346782295070462,0.0514667273766043
10,female,0.549545362098657,0.20983646238519,0.251084113720671,0.0535582986633686,-0.315024455488385,-0.484386286389955
11,male,-0.256632769634884,-0.218626947498457,0.251652524294133,-0.0535769913298064,0.234460979105574,-0.109734329689517
12,male,0.246537204965667,-0.0370462478917593,0.194932477622349,0.206620143281888,0.670112172697547,0.470908663627057
13,male,-0.687178778383746,-0.203453360364527,0.0711130781688869,-0.225448152433787,-0.366267647307459,-0.159865798135097
14,female,0.507541920131088,-0.10368802539285,-0.0474548756919572,-0.34376973575599,0.0682296181635546,0.328078427615083
15,female,0.110264423308032,-0.387158623579133,-0.164909176809348,-0.153890182821289,-0.247157381449002,-0.459563099416013
16,male,0.344474975586999,-0.156488686466029,-0.133681909280269,-0.285442037539452,0.427561341659912,-0.372382637413064
17,male,0.245090580587032,0.0866451248853431,-0.0216647401816081,-0.209307595800811,0.0295911996291292,0.0889907805190639
18,male,0.244017958654485,0.0645418884966455,-0.0282485334423538,0.149839690136081,0.107764152862713,-0.193958610639277
19,male,0.0311612735264118,-0.151228782632309,0.309122944502128,0.401732805818899,0.121077560154277,-0.131907301996466
20,female,0.184632576537009,-0.13747880090927,-0.907381731775483,-0.923853673396642,-0.550929073030408,-0.396400967733755
21,male,0.246487041831471,0.164440823285955,0.0429878946529049,-0.294031460348588,0.714744509513187,0.40970015624746
22,male,-0.506370780907564,-0.335440001859705,0.0837172889679274,0.248105401357931,-0.708150889779716,-0.53633156272706
23,male,0.0521507739696996,-0.228545206588602,-0.0356723586426315,0.524073573548402,0.0343250826961079,0.195927170876272
24,male,0.148866469146723,0.4226070917374,-0.132006627853187,0.0198652320262714,0.0739955373501606,0.0429905660720654
25,female,0.120530782051784,-0.164535818640794,-0.115699164688343,-0.0595022945692155,0.366531668142833,0.753917271790677
26,male,-0.4000322088291,0.15018750218693,-0.476617345685919,-0.541642894456959,0.303508313144689,0.569244289135662
27,male,-0.540676916962608,-0.33643994240524,-0.346444696530387,-0.0637416870046618,0.189306748061502,-0.342810736457909
28,female,0.207577148747606,0.0235044282837298,0.00220047878083746,-0.252143858720101,-0.349529000429007,0.0667063440917593
29,male,0.00989357447182027,-0.47280966247826,-0.396605464795497,-0.481623819504086,0.272939866763175,-0.0819571643093781
30,female,0.251902525806906,-0.000644362015133767,-0.483757638162846,-0.603193056526453,0.00711695228416764,0.483544773231141
31,female,0.175752584508034,0.385960684690979,0.027015725922083,0.125355546741302,-0.471753365718978,0.149772092122249
32,female,0.585481879844143,0.440463188081944,1.18716260569288,0.950681021675352,-0.290282535215101,-0.289015307036638
33,male,-0.22889002546207,-0.225673931202618,0.215573924902283,0.0235759205725995,-0.722113457158747,-0.100783166805743
34,male,0.173442618273901,0.167552283807716,0.17377107008295,0.0751738516057821,-0.159375128319989,-0.432215996363581
35,male,0.220607614030947,0.11526211971691,0.0828026206932365,-0.318713931815,-0.0445059280407913,-0.0544228069589953
36,male,-0.141973775220857,-0.637557213102031,1.16845400974866,0.725022044443,0.411848466215537,-0.131770299757782
37,male,0.118094951727425,0.0828789093200333,0.0371169270320724,0.200146825785244,-0.187930664655048,0.119879646345045
38,male,0.415751912127841,0.325832359847373,0.109228152131553,-0.145620636933391,-0.0939259983710626,-0.56274183020324
39,female,-0.0690074511139522,-0.00270399876196598,-0.283421437887989,0.254915315694545,-0.00221141887530579,0.179425610724511
40,male,-0.361684849457655,0.148922724635072,-0.531655972814712,-0.0446945429057068,0.901544501146925,0.89492334382079
41,male,-0.0828608561533058,-0.191120076954288,-0.088134061905138,-0.267017424285574,0.00281865371721518,0.129881146350233
42,male,-0.299061405671396,0.0737018728777134,-0.284974265377253,-0.507234508376399,-0.285567400177671,-0.315354788777395
43,male,0.553125229150228,0.165924010840125,0.0780679112499223,-0.164156837628401,0.252811773067726,-0.549238512584413
44,female,0.146165591499939,0.126436784557384,0.260691563766345,-0.453925191370062,0.500540573186237,0.169819998896793
